timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674671216127,461,inpost.pl main page,200,OK,inpost.pl users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,2,2,https://inpost.pl/,62,0,41
1674671216127,64,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-1,,true,,122,117,2,2,http://www.inpost.pl/,62,0,41
1674671216194,394,inpost.pl main page-1,200,OK,inpost.pl users 1-1,text,true,,61659,113,2,2,https://inpost.pl/,346,0,318
1674671216530,249,inpost.pl main page,200,OK,inpost.pl users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,2,2,https://inpost.pl/,33,0,18
1674671216530,33,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-2,,true,,122,117,2,2,http://www.inpost.pl/,33,0,18
1674671216564,215,inpost.pl main page-1,200,OK,inpost.pl users 1-2,text,true,,61659,113,2,2,https://inpost.pl/,140,0,47
1674671216590,200,inpost.pl main page,200,OK,inpost.pl users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,2,2,https://inpost.pl/,17,0,0
1674671216590,17,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-1,,true,,122,117,2,2,http://www.inpost.pl/,17,0,0
1674671216608,182,inpost.pl main page-1,200,OK,inpost.pl users 1-1,text,true,,61659,113,2,2,https://inpost.pl/,21,0,0
1674671216779,129,inpost.pl main page,200,OK,inpost.pl users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,2,2,https://inpost.pl/,20,0,0
1674671216779,20,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-2,,true,,122,117,2,2,http://www.inpost.pl/,20,0,0
1674671216799,109,inpost.pl main page-1,200,OK,inpost.pl users 1-2,text,true,,61659,113,2,2,https://inpost.pl/,50,0,0
1674671216790,214,inpost.pl main page,200,OK,inpost.pl users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,2,2,https://inpost.pl/,15,0,0
1674671216908,96,inpost.pl main page,200,OK,inpost.pl users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,2,2,https://inpost.pl/,23,0,0
1674671216790,15,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-1,,true,,122,117,2,2,http://www.inpost.pl/,15,0,0
1674671216908,23,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-2,,true,,122,117,2,2,http://www.inpost.pl/,23,0,0
1674671216805,199,inpost.pl main page-1,200,OK,inpost.pl users 1-1,text,true,,61659,113,2,2,https://inpost.pl/,54,0,0
1674671216932,72,inpost.pl main page-1,200,OK,inpost.pl users 1-2,text,true,,61659,113,2,2,https://inpost.pl/,20,0,0
1674671217005,160,inpost.pl main page,200,OK,inpost.pl users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,3,3,https://inpost.pl/,14,0,0
1674671217005,14,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-1,,true,,122,117,3,3,http://www.inpost.pl/,14,0,0
1674671217020,145,inpost.pl main page-1,200,OK,inpost.pl users 1-1,text,true,,61659,113,3,3,https://inpost.pl/,43,0,0
1674671217028,227,inpost.pl main page,200,OK,inpost.pl users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,3,3,https://inpost.pl/,35,0,18
1674671217028,35,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-3,,true,,122,117,3,3,http://www.inpost.pl/,35,0,18
1674671217064,191,inpost.pl main page-1,200,OK,inpost.pl users 1-3,text,true,,61659,113,3,3,https://inpost.pl/,102,0,62
1674671217255,90,inpost.pl main page,200,OK,inpost.pl users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,3,3,https://inpost.pl/,20,0,0
1674671217255,20,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-3,,true,,122,117,3,3,http://www.inpost.pl/,20,0,0
1674671217276,69,inpost.pl main page-1,200,OK,inpost.pl users 1-3,text,true,,61659,113,3,3,https://inpost.pl/,21,0,0
1674671217166,238,inpost.pl main page,200,OK,inpost.pl users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[2]]]00

****** comparison: [[[1]]]00

/",61781,230,3,3,https://inpost.pl/,28,0,0
1674671217166,28,inpost.pl main page-0,301,Moved Permanently,inpost.pl users 1-1,,true,,122,117,3,3,http://www.inpost.pl/,28,0,0
1674671217194,210,inpost.pl main page-1,200,OK,inpost.pl users 1-1,text,true,,61659,113,3,3,https://inpost.pl/,71,0,0
